@id,@type,name,name:ar,name:he,amenity,shop,office,healthcare,tourism,leisure,craft,opening_hours,phone,contact:phone,website,addr:street,addr:housenumber,@lat,@lon
374489860,way,Salah Al-Din School,مدرسة صلاح الدين,בית ספר סלאח אלדין,school,,,,,,,,,,,,,31.3927977,34.7414333
374489861,way,Al-Rahma Elementary School,مدرسة الرحمة الابتدائية,בית ספר יסודי אלרחמה,school,,,,,,,,,,,,,31.3879943,34.7574809
374489862,way,Khamis School,مدرسة خميس,בית ספר ח׳מיס,school,,,,,,,,,,,,,31.3884323,34.7383792
374489863,way,Al-Salam A School,مدرسة السلام أ,בית ספר אלסלאם א,school,,,,,,,,,,,,,31.3880233,34.7389319
374489867,way,Ibn Sina School,مدرسة ابن سينا,בית ספר אבן סינא,school,,,,,,,,,,,,,31.3859728,34.7485858
374492489,way,High School A,الثانوية أ,תיכון א,school,,,,,,,,,,,,,31.3987843,34.7582228
374492922,way,Al-Ozzi Comprehensive High School,ثانوية شاملة العزي,תיכון מקיף אל עוזי,school,,,,,,,,,,,,,31.3932665,34.7430764
374492923,way,Omar Ibn Al-Khattab School,مدرسة عمر بن الخطاب,בית ספר עומר אבן אלחטאב,school,,,,,,,,,,,,,31.3932741,34.7493334
374492924,way,Amal Technological School,مدرسة عمال التكنولوجية,בית ספר עמל טכנולוגי,school,,,,,,,,,,,,,31.4004472,34.7570301
374492925,way,Al-Huda School,مدرسة الهدى,בית ספר אלהודא,school,,,,,,,,,,,,,31.3999751,34.7495636
419903042,way,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.3908242,34.7673772
419903045,way,Rahat Community Center,المركز الجماهيري رهط,מתנ״ס רהט,community_centre,,,,,,,,,,,,,31.3968290,34.7565391
419903059,way,Beit Al-Hikma School,مدرسة بيت الحكمة,בית ספר בית אל חכמה,school,,,,,,,,,,,,,31.3939332,34.7655094
419961663,way,Cemetery Parking,مقبرة موقف للسيارات,חניון בית העלמין,parking,,,,,,,,,,,,,31.3882823,34.7241633
419977642,way,Rahat Commercial Center,المركز التجاري رهط,המרכז המסחרי רהט,,mall,,,,,,,,,,,,31.3946474,34.7583785
419977644,way,Yesh Supermarket,يش,יש,,supermarket,,,,,,,,,,,,31.3963314,34.7577297
419977645,way,Al-Ihsan Mosque,مسجد الإحسان,מסגד אלאחסאן,place_of_worship,,,,,,,,,,,,,31.3936358,34.7631244
419977650,way,Hilal Mosque,مسجد هلال,מסגד הילאל,place_of_worship,,,,,,,,,,,,,31.4000045,34.7633256
